Simulation,Object,Parameter,Data File
REAL_TIME,313_RTPV_10,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,313_RTPV_11,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,313_RTPV_12,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_1,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_2,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_3,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,313_RTPV_13,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_4,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_5,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_1,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_2,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_3,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_4,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_5,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_6,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,320_RTPV_6,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_7,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_8,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_9,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,118_RTPV_10,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,213_RTPV_1,PMin MW,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Reg_Down,Requirement,../timeseries_data_files/Reserves/REAL_TIME_regional_Reg_Down.csv
REAL_TIME,Reg_Up,Requirement,../timeseries_data_files/Reserves/REAL_TIME_regional_Reg_Up.csv
REAL_TIME,Spin_Up_R1,Requirement,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R1.csv
REAL_TIME,Spin_Up_R2,Requirement,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R2.csv
REAL_TIME,Spin_Up_R3,Requirement,../timeseries_data_files/Reserves/REAL_TIME_regional_Spin_Up_R3.csv
REAL_TIME,Load,Requirement,../timeseries_data_files/Load/REAL_TIME_regional_Load.csv
REAL_TIME,101_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,102_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,103_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,104_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,105_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,106_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,107_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,108_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,109_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,110_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,111_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,112_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,113_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,114_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,115_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,116_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,117_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,118_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,119_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,120_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,121_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,122_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,123_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,124_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,201_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,202_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,203_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,204_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,205_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,206_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,207_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,208_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,209_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,210_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,211_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,212_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,213_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,214_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,215_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,216_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,217_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,218_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,219_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,220_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,221_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,222_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,223_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,224_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,301_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,302_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,303_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,304_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,305_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,306_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,307_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,308_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,309_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,310_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,311_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,312_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,313_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,314_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,315_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,316_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,317_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,318_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,319_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,320_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,321_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,322_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,323_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,324_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
REAL_TIME,325_WIND_2,PMax MW,../timeseries_data_files/WIND/REAL_TIME_wind.csv
